id,type,text1,text2,text3,text4,text5,notes
pack_affenpinscher,WEAPON,"A specialized turreted point-defense pulse laser mounted on P.A.C.K. combat hulls. Emits high-intensity coherent bursts capable of rapidly incinerating incoming ordnance, while its magnetic-induction pulse scrambles missile guidance fins and engine nozzles, causing intercepted missiles to flame out and tumble off trajectory.",Point Defense,,,,
pack_swarmer_gunship,WEAPON,A compact rotary launcher mounted on P.A.C.K. gunships that ripples miniature self-guided Swarmer rockets to disperse enemy interceptors and intercept incoming light ordnance.,Point Defense,,,,
pack_lightag,WEAPON,"A customized light assault gun mounted on P.A.C.K. heavy gunships, firing rapid high-explosive shells to crack armor plating once target shields have been collapsed.",Assault,,,,
pack_mini_vulcan,WEAPON,"A miniaturized high-cyclic rotary point-defense cannon built for P.A.C.K. light attack craft, tearing through close-range missiles and drone swarms with dense ballistic spreads.",Point Defense,,,,
syndicate_asp_typewriter,WEAPON,Anchored directly to the hull of the Copperhead-class freighter variant; rapid tracking and elevation are driven by an advanced super-cooled electromagnetic gimbal slaved to a high-spec targeting core. Punishing to shields at close range with best-in-class tracking speeds.,Point Defense,,,,
junk_pirates_sickle,SHIP,"A fast frigate designed for getting in and out of trouble quickly, delivering some decent firepower with the medium energy turret mounted high above the bridge.
Decent flux reserves complement the main weapon and the omnidirectional shield, but it is relatively light and difficult to control, so can stand up poorly in a dogfight against a more nimble ship.",,,,,
junk_pirates_hammer,SHIP,"A mobile heavy ordnance platform. Slow for a small frigate, but highly manoeuvrable.
Due to its simple construction it is cheap yet reasonably robust, with front facing shields further improving its survivability.
Dangerous when encountered as part of a group due to its potentially lethal payload, but otherwise not particularly extraordinary.",,,,,
junk_pirates_dugong,SHIP,"The battle ready command platform for the Junk Pirate nobility.
With a high capacity for fuel and energy reserves supplementing the large omnidirectional shield and generous armour plating, the ship is deceptively tough to kill.
If the captain can swing this ship round in time to deliver his devastating ballistics-heavy broadside onto your direction, you need to think carefully about whether you want to stick around to watch the fireworks. Four missile hardpoints to the rear allow the ship to operate as a fire support platform.",,,,,
junk_pirates_octopus,SHIP,"A civilian freighter used by the Junk Pirates to transport goods, materials and people throughout the sector.
Whilst the ship itself is technically incapable of mounting shields; it carries a separate independent shield module for protection. One wing of the craft is complete with a fully functional, combat ready flight deck.",,,,,
junk_pirates_spike,SHIP,"Hardy, fast and heavy hitting. A shortage of a shield makes it easier to kill than it looks, but it's cheap to produce, and not to be underestimated in the depths of a melee.",,,,,
junk_pirates_jackdaw,SHIP,"A light cruiser with a heavy hitting left hook, lightweight right jab and a decent enough jaw.
Similar in design, but different in tactical profile to the Dugong, delivered by engineers through a marginally successful programme trying to manufacture a cheaper, easier to field version.
The VIE plug-jets installed in this vessel make it hit quicker, but not as hard as the ammo-feeder equipped Dugong.",,,,,
junk_pirates_orcenstein,SHIP,"A front loaded energy-based Artillery platform, capable of bringing the main armament of two large energy weapons quickly to bear with her manoeuvring jets.
When infamous tinkerer Cerys Clattenberg presented this Cruiser to the King and declared it The Clattenberg Catapult, most people ignored both the creators chosen moniker and her subsequent execution. Dangerous as an artillery piece, but an expensive toy that needs constant protection from flanking when under duress.",,,,,
junk_pirates_cleat,SHIP,"Plan A: Win, Plan B: Escape, Plan C: Die, Plan D: Cleat.
Used to be regarded as a vital part of the safety protocols on Junk Pirates' ships - and for years the King felt comfortable in the knowledge that thousands of his loyal subjects would be living full and happy lives after escaping via the pods contained on the Cleat, which would be launched simply from the cargo bays of a defeated vessel - point towards the safest planetary body and launch the escape pod in to the gravity well where on board systems would allow the occupant to be delivered safely to the surface.
Unfortunately the systems were found wanting, and fatally decelerated bodies still appear to this day around the sector inside found pods.
The Cleat and the escape pod system have been happily repurposed in to an effective bomber by the ever resourceful Junk Pirate engineers.",,,,,
junk_pirates_boxer,SHIP,"The Boxer is characterised by thick armour plates around an inefficient but effective engine and controls system.
A powerful, fixed shield and some capable ballistic weaponry looking straight forward means it is a ship that you don't want to get caught in front of, but its sheer weight makes it unwieldy and slow.
Three mixed missile hardpoints and an additional ballistic turret with good coverage make the boxer capable of diverse roles.",,,,,
junk_pirates_boxenstein,SHIP,"An unholy fusion of the best parts of two Boxer class destroyers cut and welded together to create this hulk of a superdestroyer.
Controls and flux systems have been upgraded heavily, and this ship now relies largely on energy weaponry.",,,,,
junk_pirates_clam,SHIP,"A defensive heavy frigate blessed with a useful, full coverage efficient shield system and some reasonable armour.
All this high technology has added cost and placed an unfortunate limit on the offensive capabilities of the craft, with the main capabilities coming from its missile payload.
Created in response to protestations from the Kingdom that all the other frigates are too exposed - leading to too many premature deaths. The King is looking forward to the time when the same people are complaining about this frigates lack of teeth.",,,,,
junk_pirates_satsuma,SHIP,"Highly versatile and inexplicably symmetrical attack destroyer. Plug jets give great mobility, and the weapon loadout allows both good coverage and focus.",,,,,
junk_pirates_clementine,SHIP,"The darling of the Junk Pirate fleet, a versatile frigate with a medium energy turret and good mobility, augmented by Plug jets.",,,,,
junk_pirates_mandarine,SHIP,"A flexible and robust support frigate. Relatively low mobility, but can bring great support with a medium ballistic mount and an acceptable shield system.
Fitted with a flare system providing good rear coverage, brave captains can forego point defense weaponry and hope for the best.",,,,,
junk_pirates_tangerine,SHIP,"A ship fitted with great armour, great flux-handling, good mobility and an advanced drive field which allows the ship to increase in mobility with increased hard flux levels. It also has a built-in best-in-class strike weapon (the Haymaker energy blaster).
Almost the perfect hunter-killer frigate until you read the small print on the back page of the brochure and realise that the ship is guaranteed to enter a catastrophic overload when the Metastable Drive field is pushed too far. If you are lucky; this event will buy you enough time to turn the engines back on.",,,,,
junk_pirates_tangerine_blue,SHIP,"An experimental version of an experimental ship. The original Tangerine is fitted with great armour, great flux-handling, good mobility and an advanced drive field which allows the ship to increase in mobility with increased hard flux levels. It also has a built-in best-in-class strike weapon (the Haymaker energy blaster).
But it is guaranteed to enter a catastrophic overload when the Metastable Drive field is pushed too far. This ‘blue’ version is as piloted by the Circumstances, a brother and sister pair of outlaws, and appears to be tricked out with some fairly kooky time-bending tech layered on top of the already frightening loadout of the Tangerine.",,,,,
junk_pirates_orca,SHIP,"Heavily armed, slow and modestly armoured carrier with an advanced shield and systems, the Orca represents (to some) the pinnacle of the Junk Pirates' bizarre breed of technology.
Versatile ballistic and energy mounts all around the perimeter of the craft allow for effective assault or defensive variants. It is unwise to engage this craft in a frontal assault, but if outnumbered or flanked by surprise, the relatively weak rear can be taken advantage of.",,,,,
junk_pirates_shard,SHIP,"The preferred escort fighter for the Junk Pirates' fleet, produced largely within the region of Backspin, the second planet of the Breh'Inni system.
This is the spiritual home of the fighter pilots of the Junk Pirates' fleet, and as such the planet's orbit is thick with scarred, spinning hulls of the staple death-bucket, the Spike. Most of these are as a result of the training exercises, but some are returned hulls brought back by sentimental types.
For the fighter pilots lucky, or skilful enough, to show a degree of survivability in this oft-maligned entry model, they will be promoted to a far more expensive, but less easily aerated craft, the Shard.
More armour and better armaments in a slightly bulkier frame means more hot dinners at the post-sortie ho-down, and more business for opposition funeral directors.",,,,,
junk_pirates_stoatA,SHIP,"A light freighter, ostensibly a couple of small engines attached to a frame, with the means to carry any of a number of cargo canisters or crates.
Very weak offensively and defensively, but it suits the Junk Pirates for inter-system logistics.
This model carries a small energy turret.",,,,,
junk_pirates_stoatB,SHIP,"A light freighter, ostensibly a couple of small engines attached to a frame, with the means to carry any of a number of cargo canisters or crates.
Very weak offensively and defensively, but it suits the Junk Pirates for inter-system logistics.
This model has a small fixed missile point to the front.",,,,,
junk_pirates_langoustine,SHIP,"A quick destroyer with a front-facing shield and some strong forward weaponry.
Dreamt up by ship-building prodigy, Graj Krell, as she sat in the bridge of her Boxer following a hard-fought battle, watching a Valkyrie loaded with precious goods limp away from her near-immobile fleet.
A brief meeting with the catering staff and a couple of afternoons later, she had come up with the basis of the Langoustine, a genuine attack destroyer.",,,,,
junk_pirates_scythe,SHIP,"A modestly armed, quick freighter, often used for intra-system cargo runs near to the Breh'Inni system.
The front-concentrated ballistic and missile mounts can allow for an effective combat vessel as part of a fleet, but a lightweight frame can make it vulnerable if caught alone.",,,,,
junk_pirates_goat,SHIP,"A hardy and versatile explorer, designed for those times when the Junk Pirates need to go a bit further from home.
Not designed primarily as a combat vessel, however thick armour and the capability to mount a large energy weapon has meant that the Goat has been used in battle often enough.",,,,,
junk_pirates_kraken,SHIP,"The Junk Pirates' battleship, created only for warfare. With a fearsome ballistic broadside and versatile energy emplacements, this is not to be trifled with.
Heavy armour and a good shield allows it great staying power while the armaments deliver the pain.",,,,,
junk_pirates_turbot,SHIP,"The Turbot represents the apex of Junk Pirate technological lunacy, spearheaded by the notoriously paranoid philosopher-engineer, 'Angry' Jake Maddra. Originally laid down as a nimble strike craft, its entire internal volume has been violently hollowed out to accommodate the 'Heavy Interdiction Suite'. The sheer mass of jury-rigged capacitors and Domain-era electronic warfare projectors leaves the vessel sluggish and cumbersome to turn, but grants it an immense flux capacity and violent straight-line acceleration.
Because the Suite occupies almost all weapon hardpoints and ordnance space, the Turbot relies heavily on a specialized wing of autonomous Phase Drones. In combat, the Turbot acts as a sponge, intentionally soaking up energy before violently shunting its own accumulated flux directly into an enemy target, simultaneously driving its drone escorts into an electromagnetic feeding frenzy. Only 'Angry' Jake truly understands how the phase telemetry synchronizes with the interdictor pulse, but his paranoia ensures the blueprints will never see the light of day.",,,,,
junk_pirates_splinter,SHIP,"Quick, durable, and heavy hitting. This represents the best effort yet the Junk Pirates have made in achieving an effective fighter technology.",,,,,
junk_pirates_the_reaper,SHIP,"A massive, lumbering Frankenstein monster of a capital ship. The Reaper is a highly asymmetrical amalgamation of at least three distinct salvaged hulls—a boxy beige freighter block, heavy grey industrial gantries, and bizarre reddish-pink curved plating—all crudely welded together. Despite its chaotic, junk-heap appearance, it boasts tremendous raw bulk, reinforced by an always-on low-intensity structural integrity field that passively dampens incoming kinetic and energy trauma while housing the Junk Pirates' devastating accelerated particle drill.",,,,,
junk_pirates_magpie,SHIP,"Ostensibly a platform for experimental twinned PICA energy blasters. With a couple of makeshift engines attached, and the added punch of a large missile mount – the Magpie carries a dangerous assault package.
As far as it can be stated as such (given the inference of foresight not necessarily present in the original creation processes) the vessel is designed to burst in to the fray of lighter craft and demolish smaller hulls with the quick-moving and accurate bursts of fire from the two main weapons, supplemented by an all-round array of protective small energy weapons.
Energy transformation processes and flux handling is dealt with by a web of post-crystalline hyper-chained phase-polymers intertwined amongst the hulls, bulkheads and armour plating to give excellent performance in terms of capacities and dissipation.
The frontal shield protecting the relatively fragile armour gives survivability ratings above benchmarks for operational experimental space-laboratories in combat environments.",,,,,
junk_pirates_insult_drone,SHIP,"The final insult to many a marauding frigate hoping to find the gaps in the defenses of the lumbering hulk of The Kraken. Phase-beam wielding, displacer-capable and seemingly endless flux-handling capabilities - limited only by the tech that leashes the systems close to the Parent.",Drone (high tech),,,,
junk_pirates_phase_drone,SHIP,"The Turbot carries a wing of high-tech drones capable of independently entering and exiting P-space. Armed with miniature pulse ion cannons, these agile drones flank enemy vessels to disable weapons, disrupt engines, and suppress hostile shielding.",Drone (high tech),,,,
junk_pirates_tnt_drone,SHIP,"The on-board workshops and manufacturing facilities located within the sweaty depths of The Reaper mining vessel are used for any number of things.
High stakes poker games and Chilli competitions entertain the crowds, the crushing and packing of ore feeds the growth of the Kingdom, and the constant replenishment of assault gun wielding drones allows the mothership to effectively break apart asteroids at dangerously close ranges, without worrying too much about asset losses.
The TNT drones provide a reasonable threat to attacking craft should The Reaper find itself without further support.",Drone (mining),,,,
junk_pirates_welding_drone,SHIP,"The partner drone to the assault gun wielding TNT drone. A point defense laser is used to interrogate cracks and fissures in the faces of ore-rich asteroids, where its bigger sister will follow with some explosive ordnance.
Provides useful point defense support in a combat situation.",Drone (mining),,,,
junk_pirates_latrodectus,SHIP,"A razor-sharp automated interceptor drone spawned by the Spinerette megastructure. Armed with an ion cannon and twin light machine guns, it aggressively swarms hostile strike craft and scrambles incoming missile salvos before they can threaten the hub.",Drone (interceptor),,,,
junk_pirates_orbweaver,SHIP,"A heavy automated combat drone deployed by the Spinerette automata cloud. Equipped with paired light mortars and an integrated flare defense system, it maintains persistent pressure against enemy hull plating in orbital defense engagements.",Drone (fighter),,,,
junk_pirates_spinerette_base,SHIP,"This is a huge, slithering mass of incoherent and unidentifiable modules, vaguely arranged in an Arachnoid manner. Strong energy signatures emanate from the central pod arrangement and a full-spectrum scan of this … thing … reveals no organic life.",,,,,
junk_pirates_raven,SHIP,"Originally conceived as a joint venture between corporate interests and high-tech arms dealers, the Raven was intended to be a next-generation raider. The project collapsed amid infighting, leaving the Junk Pirates to salvage the surviving prototypes. While boasting advanced systems and an integrated targeting core, its rushed structural integration makes it a dangerous anomaly.",,,,,
pack_bedlington,SHIP,"A lightweight mobile frigate outfitted with a small drone bay, carrying an ion-drone.
Limited offensive capabilities, but an excellent harasser in support of heavier ships.",,,,,
pack_wirefox,SHIP,"The Wirefox is capable of meeting foes head-on, biting with some dangerous front-facing weaponry, and not letting go.
Needs support when outgunned due to its typical P.A.C.K. flimsy hull, but mobile enough to choose her battles.",,,,,
pack_wirefox_sh,SHIP,"The modified Shuttle-variant of the Wirefox-class frigate, often referred to as 'Smooth-Haired' due to the SH suffix printed on the hull - and an ironic dig at the down-on-their-luck pilots who - sooner or later - are destined to lose their hair.
Cheap to operate and field, and highly manoeuvrable - but lacking in genuine defensive capabilities.",,,,,
pack_pitbull,SHIP,"Fierce, hardy and unrepentant. The Pitbull has been designed around the overclocked and brutal front-facing Ripsaw, a kinetic bombardment weapon based on the light autocannon.
All-round light ballistic protection and four wing-mounted missile mounts complete the payload of this dangerous and heavily armoured light destroyer.",,,,,
pack_ridgeback,SHIP,"The lifeblood of the P.A.C.K. fleet, the Ridgeback is capable of many roles, and an expert in none. Flexible weapon mountings allow this craft to perform adequately in a combat environment, although in catering for so many diverse supporting roles, with large cargo bays and complicated life-support systems, the hull is extraordinarily fragile for a ship of its size. Modern refits incorporate the Ridgeback Protocol, combining accelerated weapon autoloaders with dorsal thermal shunts to grant bursts of fierce firepower and agility when cornered.",,,,,
pack_ridgeback_x,SHIP,"A variant of the Ridgeback, the Ridgeback X is smaller, and being designed for operation in more extreme environments - with better flux management and heavier armour - is generally more suitable for a direct combat role. Fitted with the specialized Ridgeback Protocol, it combines robust armor protection with rapid-cycling ballistic firepower.",,,,,
pack_BRT,SHIP,"The Black Russian Terrier, more commonly known as the BRT seems to be designed around primarily an escort or point defense role.
The versatile mounts and reasonable flux management allow it to prosper in other more offensive roles. The large bridge structure allows for a relatively high personnel capacity.",,,,,
pack_BRT_canebianco,SHIP,"This Black Russian Terrier (BRT) is a heavily modified version with an operating flight deck substituted in place of the normally forward-facing smaller weaponry of her cousin.
Canebianco technicians have baked-in advanced optics to supplement the retained Affenpinscher and any other beam weaponry the commander may wish to outfit within the two medium modular energy mounts.
Still kitted out with versatile mounts and reasonable flux management - it can be outfitted with a defensive or offensive standpoint. The large bridge structure allows for a relatively high personnel capacity.",,,,,
pack_labrador,SHIP,"A utility ship with a keen sensor system and a reasonable capacity for cargo, provides a good complement to a P.A.C.K. fleet.
Limited combat capabilities and a poor choice for offensive operations, but reasonable in a defensive role with her burn drive and dual medium ballistic turrets.",,,,,
pack_drone_ion,SHIP,The Ion Drone of the Bedlington allows the ship to act as a very effective harasser,Drone (support),,,,
pack_felix_drone,SHIP,P.A.C.K. support drone implemented variously through the fleet to supplement the combat capabilities of the parent vessel.,Drone (support),,,,
pack_gunship,SHIP,"Vulcans and Swarmers make the Ivan-class great for screening against opposition fighter wings.
The LPC has proc-gen code built in which provides a martially-useless but unique external decal-covering and finishing package to each unit - with common themes including neon under-carriage lighting; chromed front grilles and flame-effect fractal decals. These will often be supplemented by the Pilots own handiwork - although the mission-count of any individual unit will rarely hit double figures.",,,,,
pack_pressure_gunship,SHIP,"With a miniaturised Ripsaw mounted on each wing; The Alyosha-class is capable of punching above its weight and putting pressure on shielded vessels. Flares allow the gunships to provide additional interference.
The reliance on kinetic weaponry make the unit a specialised one; but when deployed correctly it can shift the tides of a close battle.",,,,,
pack_bomber,SHIP,"The Mitya-class has a couple of turret-mounted mag-rail delivered HE torpedoes; plus a shield and a PD laser to make sure it has a good chance of getting close enough to deliver.
The central command globe of this powerful bomber is particularly arcane in its construction and this unit is difficult for an autofac to efficiently field.",,,,,
pack_levin,SHIP,"The Levin-class gunship is characterised by a huge frame for an LPC deliverable battle-platform - with a corresponding level of resilience under fire and lack of mobility.
Designed to deliver a heavy burst of fire from range with her onboard Thumper and LAG turrets; it suffers under prolonged individual engagements due to the heavy flux load of the very large ordnance it carries.
Onboard IPDAI assists in clearing away incoming missile threats but can distract from the primary role of the unit.",,,,,
pack_oblonsky,SHIP,"The Oblonsky-class is an entirely self-sufficient Carrier-driven, CPU-operated, vulcan-armed drone with one drawback - the units are pre-programmed to require pilots to even clear the deck-mounted autofac.
Once manned, the Oblonsky-class is capable of very-high mobility. A foam-metal-matrix filler subsumes the space between the pilot and the cockpit shell to protect from excessive forces at high speed; and a neural-spike allows the pilot to interface with the navigational and targeting computer - but the extremely high speeds of a typical space battle means the pilot rarely provides much in the way of meaningful input - the benefit being mostly to the pilot - with a brain quickly flooded with adrenaline, dopamine and any-other-mine the pituitary can squeeze out whilst the tiny craft corkscrews through open space.
Oblonsky pilots are variously revered and ridiculed as the age-old and culturally-independent debate on the issue of 'Bravery vs. Foolishness' merrily goes on throughout the many booze-halls and cat-houses of P.A.C.K. space.",,,,,
pack_spinone,SHIP,"A P.A.C.K. Cruiser with one notable strength - it is capable of maintaining 3 fighter wings on the battlefield.
Otherwise would only ever be described as 'adequate' - but with a moderately efficient shield and a reasonable logistical footprint, it provides a useful means for the P.A.C.K. fleet to bring any one of a number of Gunships to the field.
The craft is complete with an integrated, complex comms and control array capable of instigating 'Trilateral Augmentation Algorithms' via her gunships or fighters - using quantum computing to create a short term possibilities-forecast through interlinking carrier & fighter intel to greatly improve the fighters navigational processors over a brief period.",,,,,
pack_GFB,SHIP,"The Griffon Fauve de Bretagne - or more often referred to as GFB - is a destroyer-level combat carrier with an in-built Ivan Gunship wing, plus capability to mount one more of any other sector-wide modular fighter or gunship LPC.
Relatively heavily armoured, and highly mobile - this is a real front-line carrier with potentially devastating combat potential.",,,,,
pack_bullykutta,SHIP,"The Bully Kutta is a cumbersome but effective missile cruiser, which was originally designed to operate as an atmospheric landing vessel in politically and naturally hostile environments.
Due to the generous complement of missiles and unusually thick armour plating (allowing it to enter atmospheres and also to remain intact against the self-generated engine thrusts necessary to do so safely) this finds great use as a real heavy hitter – but due to the low mobility can find it difficult to engage threats without coordinated fleet manoeuvres generating sufficient interference elsewhere.",,,,,
pack_dogbox,SHIP,"This is a frightening side-grade to the P.A.C.K. missile cruiser (the Bully Kutta), put in to use by pirate groups with a marked change of focus – the Dog Box concentrates more on the provision of ballistic weaponry and ditches most safety protocols.
The Bully Kutta itself is a cumbersome cruiser, which was originally designed to operate as an atmospheric landing vessel in politically and naturally hostile environments. The Dog Box is an attempt to move the Bully Kutta frame in to a proper assault role – using the heavy armour alongside safety overrides to theoretically combine in allowing it to engage at short range – where the lumbering Bully Kutta could not.",,,,,
pack_samoyed,SHIP,"A light freighter, capable of running loads at decent speeds and good fuel economy. Reasonably well armed but with poor manoeuvrability, is of limited value in combat scenarios.",,,,,
pack_samoyed_decoupled,SHIP,"The Samoyed freighter has been detached from the primary cargo vessel, increasing combat viability markedly.",,,,,
pack_komondor,SHIP,"The Komondor guard destroyer appears to be of a higher technological level than the bulk of the P.A.C.K. fleet, and carries a very versatile set of generally forward facing weapon mounts. Blessed with a thick suit of armour, lower crew levels and an uncharacteristically thick hull, it has decent staying power at the cost of some agility in combat. An experimental Tri-Feed Overcharge synchronizes its formidable weapon battery, allowing it to function as a devastating frontline brawler.",,,,,
pack_sharpei,SHIP,"Large and well-armoured with a wide omni-directional shield and an oversized, rudimentary phase coil that enables the ship to take small stutters across wrinkles of p-space.
The Shar Pei represents a snapshot in P.A.C.K. technology at a time pre-expansion when phase space was being experimented with, rather than mastered - by the engineers of the time.
A cautious captain uses the craft from range, with missile and ballistic support and avoiding fire with the P.A.C.K. phase skimmer. An aggressive captain hops in to close range through p-space and uses an impressive outfit of weaponry to quickly disable the target before the comparatively thick layer of armour can be breached.",,,,,
pack_sharpei_canebianco,SHIP,"This Shar-Pei class vessel has been modified heavily by Canebianco technicians to amplify the power core output by a couple of orders of magnitude. The impact, as was theorised, is that the skimmer system will now hold the ship stable in p-space.
With the strategic boon of being a capable phase ship, it is broadly similar to the Shar-Pei. The modifications do however include a necessary increase to the flux capacity, swapping out the front mounted missile hardpoints for energy, and some bright spark added a handy energy-bypass to allow the ship to operate as if it has a High Energy Focus system.",,,,,
