id,trigger,conditions,script,text,options,notes
greetingAspHostileWeaker,OpenCommLink,"$faction.id == syndicate_asp
$faction.hostileToPlayer
$relativeStrength < 0
!$entity.aspCourierFleetITEMS
!$entity.aspCourierFleetVIP
!$entity.aspCourierFleetPRISONER
!$entity.aspCourierFleetMONEY",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,cutCommLink:Cut the comm link,
greetingAspHostileWeakerDefiant,OpenCommLink,"$faction.id == syndicate_asp
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding
!$entity.aspCourierFleetITEMS
!$entity.aspCourierFleetVIP
!$entity.aspCourierFleetPRISONER
!$entity.aspCourierFleetMONEY",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,cutCommLink:Cut the comm link,
greetingAspHostileStronger,OpenCommLink,"$faction.id == syndicate_asp
$faction.hostileToPlayer
$relativeStrength >= 0
!$entity.aspCourierFleetITEMS
!$entity.aspCourierFleetVIP
!$entity.aspCourierFleetPRISONER
!$entity.aspCourierFleetMONEY",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,cutCommLink:Cut the comm link,
greetingAspNeutral,OpenCommLink,"$faction.id == syndicate_asp
$faction.neutralToPlayer
!$entity.aspCourierFleetITEMS
!$entity.aspCourierFleetVIP
!$entity.aspCourierFleetPRISONER
!$entity.aspCourierFleetMONEY","$menuState = fleetConvMain 0
FireAll PopulateOptions","I'm sorry but we can't be kept long, we're on important Syndicate Business.",,
#PACK Normal Flavour text,,,,,,
greetingPackFriendly,OpenCommLink,"$faction.id == pack
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Hey there, what's happenin'?",,
greetingPackHostileWeaker,OpenCommLink,"$faction.id == pack
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,cutCommLink:Cut the comm link,
greetingPackHostileWeakerDefiant,OpenCommLink,"$faction.id == pack
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,cutCommLink:Cut the comm link,
greetingPackHostileStronger,OpenCommLink,"$faction.id == pack
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,All requests for comms are being denied.,cutCommLink:Cut the comm link,
greetingPackNeutral,OpenCommLink,"$faction.id == pack
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions",Can we help you?,,
#JP Explorer Flavour Text,,,,,,
greetingJUNKExplorerNeutral_1,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Dream of the Tangerine? So do we all, but best not to spend too long on one.",,
greetingJUNKExplorerNeutral_2,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Why don't the hab tubes break, you may ask? It is purely the force of our will. Our nature. We bind the planet, stitched up by our souls.",,
greetingJUNKExplorerNeutral_3,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","If man seeks perfection, he is seeking failure. For the man who achieves perfection has failed.",,
greetingJUNKExplorerNeutral_4,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","There are millions of people floating around this little sector of ours. All of them are people, not all of them are leaders.",,
greetingJUNKExplorerNeutral_5,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Sometimes, $playerName, it just rains, you know?",,
greetingJUNKExplorerHostileStronger_1,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"Remember, please, do not seek perfection. In fact, seek the opposite. Seek the purest kind of chaos, because then anything can happen.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileStronger_2,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"Perfection is death, $playerName. See you around, maybe not in this life.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileStronger_3,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"The conclusion of it all, really, is nothing. It's not true to say 'nothing is PERFECT', more accurately 'perfect IS nothing'. You are perfect, $playerName.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileStronger_4,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,I would make the sincere recommendation that the best you can do is enjoy it.,cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileStronger_5,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"We fight, not because we are angry. We fight, not because we are right. We fight, because YOU are wrong.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileStronger_6,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,When you strive to make the little man your friend; you make him weaker. When you strive to make the big man your friend; he will take your world.,cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeakerDefiant_1,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"Remember, please, do not seek perfection. In fact, seek the opposite. Seek the purest kind of chaos, because then anything can happen.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeakerDefiant_2,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"Perfection is death, $playerName.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeakerDefiant_3,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The conclusion of it all, really, is nothing. It's not true to say 'nothing is PERFECT', more accurately 'perfect IS nothing'. You are perfect, $playerName.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeakerDefiant_4,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,I would make the sincere recommendation that the best we can do is enjoy it.,cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeakerDefiant_5,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"We fight, not because we are angry. We fight, not because we are right. We fight, because YOU are wrong.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeakerDefiant_6,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,When you strive to make the little man your friend; you make him weaker. When you strive to make the big man your friend; he will take your world.,cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeaker_1,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"Remember, please, do not seek perfection. In fact, seek the opposite. Seek the purest kind of chaos, because then anything can happen.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeaker_2,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"Perfection is death, $playerName.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeaker_3,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"The conclusion of it all, really, is nothing. It's not true to say 'nothing is PERFECT', more accurately 'perfect IS nothing'.",cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeaker_4,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,I would make the sincere recommendation that the best we can do is enjoy it.,cutCommLink:Cut the comm link,
greetingJUNKExplorerHostileWeaker_5,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,When you strive to make the little man your friend; you make him weaker. When you strive to make the big man your friend; he will take your world.,cutCommLink:Cut the comm link,
greetingJUNKExplorerFriendly_1,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","My advice to you, $playerName, is that happiness is just the way your brain takes on certain chemicals. Sometimes you can ... encourage ... those chemicals by having a near-death experience in a starship.",,
greetingJUNKExplorerFriendly_2,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","If it doesn't look right, it doesn't mean it isn't right. If people choose to rewrite what is 'right', that is not your problem.",,
greetingJUNKExplorerFriendly_3,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","If you're the only one carrying an opinion in a room of a hundred people, it probably means you are the one who has got it right.",,
greetingJUNKExplorerFriendly_4,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions",Who is the King? Who are you? He has chosen to walk round with a big target on his back and the weight of our great lands around his shoulders. Who do you think is really holding the power?,,
greetingJUNKExplorerFriendly_5,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","If you want to make waves, $playerName - dont try and control the water - just rearrange the sea bed.",,
greetingJUNKExplorerFriendly_6,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Its cold outside, theres no kind of atmosphere. Do you think we are all alone, $playerName? More or less.",,
greetingJUNKExplorerFriendly_7,OpenCommLink,"$entity.junkPirateExplorers score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","You know who made these tubes? The tubes that hold tight as the Glorious plates shift around us and huge rifts of ammonia ice drift right into us? It was us. We made them, with the force of our spirit alone.",,
# JUNK fleet greeting lines,,,,,,
greetingJUNKFriendly,OpenCommLink,"$faction.id == junk_pirates
$faction.friendlyToPlayer
!$entity.junkPirateExplorers","$menuState = fleetConvMain 0
FireAll PopulateOptions","Hello, Friend. Her red light warms both of us, tonight.",,
greetingJUNKHostileWeaker,OpenCommLink,"$faction.id == junk_pirates
$faction.hostileToPlayer
$relativeStrength < 0
!$entity.junkPirateExplorers",$ignorePlayerCommRequests = true 1,Know this - my friends don't forget easily.,cutCommLink:Cut the comm link,
greetingJUNKHostileWeakerDefiant,OpenCommLink,"$faction.id == junk_pirates
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding
!$entity.junkPirateExplorers",$ignorePlayerCommRequests = true 1,"$personRank laughs over the comm link. ""Wish me luck, $playerName.""",cutCommLink:Cut the comm link,
greetingJUNKHostileStronger,OpenCommLink,"$faction.id == junk_pirates
$faction.hostileToPlayer
$relativeStrength >= 0
!$entity.junkPirateExplorers",$ignorePlayerCommRequests = true 1,This will be fun.,cutCommLink:Cut the comm link,
greetingJUNKNeutral,OpenCommLink,"!$entity.junkPirateExplorers
$faction.id == junk_pirates
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions",I've got your number. Re-engage with your original mission.,,


# ==============================================================================

# ==============================================================================

# ==============================================================================

# ==============================================================================

# ==============================================================================
# HYPERCUBE - TRI-HARMONIC RESONANCE PUZZLE
# ==============================================================================
junkpiratesHypercubeOpen,OpenInteractionDialog,"$customType == junk_pirates_hypercube score:1000
!$entity.hypercube_completed","ShowDefaultVisual
JunkPiratesHypercubePuzzle init","Your fleet matches orbit with the dark, monolithic geometry of the Hypercube. The adamantine tesseract hangs suspended against the stars, hairline inlays of brass filigree veining its mirror-polished faces.

An intricate mechanical apparatus spans the surface: an outer brass ring, a sunken obsidian core, lateral sliding facets, and a central grounding pin.

Sensor arrays register shifting harmonics between three distinct physical phenomena: Acoustic Resonance, Luminescence, and Spatial Tension. Attempting to force any channel beyond safe tolerances or discharging an empty reservoir will trigger a catastrophic spatial shear.",,
junkpiratesHypercubeActRing,DialogOptionSelected,$option == hypercube_act_ring,JunkPiratesHypercubePuzzle ring,,,
junkpiratesHypercubeActCore,DialogOptionSelected,$option == hypercube_act_core,JunkPiratesHypercubePuzzle core,,,
junkpiratesHypercubeActFacets,DialogOptionSelected,$option == hypercube_act_facets,JunkPiratesHypercubePuzzle facets,,,
junkpiratesHypercubeActPin,DialogOptionSelected,$option == hypercube_act_pin,JunkPiratesHypercubePuzzle pin,,,
junkpiratesHypercubeClue,DialogOptionSelected,$option == hypercube_clue,JunkPiratesHypercubePuzzle init,"You review the degraded audio log recovered from the shattered scavenger frigate drifting nearby:

""...they are bound in a closed ring! Sound feeds Light. Light feeds Gravity. Gravity feeds Sound. If you try to force one channel past three units, it fractures. If you try to siphon from an empty channel, it cavitates and violently backfires!

To open the box, you cannot force one to zero while the others rage. You must bring all three into perfect balance—equal in weight—and only then strike the central pin to drain them into the void! Once all three reach absolute zero... the gateway opens...""",,
junkpiratesHypercubeCompleted,OpenInteractionDialog,"$customType == junk_pirates_hypercube score:1001
$entity.hypercube_completed",ShowDefaultVisual,"The Hypercube rests in its final, permanently stabilized configuration. The adamantine faces are locked open, revealing the empty, dead containment chamber. The local vacuum is devoid of anomalous resonance or spatial shear. The puzzle has been solved.",hypercube_leave:Leave,
junkpiratesHypercubeLeave,DialogOptionSelected,$option == hypercube_leave,DismissDialog,,,

# ==============================================================================
# LINCOLN CATHEDRAL - NEURAL CRADLE & ALPHA CORE INTEGRATION
# ==============================================================================
lincolnCathedralOptionSlot,PopulateOptions,"$entity.id == lincoln_cathedral
$menuState == main
!$entity.alphaCoreSlotted",,,lincolnCathedralInspectCradle:Inspect the Cathedral's neural cradle,
lincolnCathedralOptionActive,PopulateOptions,"$entity.id == lincoln_cathedral
$menuState == main
$entity.alphaCoreSlotted",,,lincolnCathedralCommuneCore:Interface with the Cathedral's Alpha Core custodian,
lincolnCathedralCradleSelected,DialogOptionSelected,$option == lincolnCathedralInspectCradle,LincolnCathedralCradle init,,,
lincolnCathedralCommuneSelected,DialogOptionSelected,$option == lincolnCathedralCommuneCore,LincolnCathedralCradle commune,,,
lincolnCathedralDoSlotSelected,DialogOptionSelected,$option == lincolnCathedralDoSlot,LincolnCathedralCradle slot,,,
lincolnCathedralAskStatusSelected,DialogOptionSelected,$option == lincolnCathedralAskStatus,LincolnCathedralCradle status,,,
lincolnCathedralTryUnplugSelected,DialogOptionSelected,$option == lincolnCathedralTryUnplug,LincolnCathedralCradle try_unplug,,,
lincolnCathedralBackSelected,DialogOptionSelected,$option == lincolnCathedralBack,FireAll PopulateOptions,,,
jp_yorkBar_pop,DialogOptionSelected,"$option == marketVisitBar
JP_YorkBar_Cmd isValid score:100",FireBest BarShuttleDownPrintDesc,"As you enter the dockside bar, you notice a weary-looking spacer slumped in a booth, poring over a battered TriPad filled with encrypted astrometric survey charts.","jp_yorkBar_approach:Approach the spacer and inquire about their survey charts
jp_yorkBar_ignore:Ignore them and head into the main bar area",
jp_yorkBar_init_fresh,DialogOptionSelected,"$option == jp_yorkBar_approach
!$global.jp_yorkBar_mealBought",JP_YorkBar_Cmd showPerson,"You slide into the booth opposite the spacer. They glance up, their eyes sunken and unfocused, before looking back down at their battered TriPad. Their stomach gives a loud, hollow growl.

""I don't have time for tourists, captain,"" they mutter. ""I'm trying to figure out how to stretch my last credits into a week of nutrient paste.","jp_yorkBar_buyMeal:Order a top-of-the-line luxury meal for the spacer (40000 credits)
jp_yorkBar_leave:Leave them to their charts",
jp_yorkBar_init_returning,DialogOptionSelected,"$option == jp_yorkBar_approach
$global.jp_yorkBar_mealBought",JP_YorkBar_Cmd showPerson,"You slide back into the booth. The spacer gives you a knowing nod, sliding the empty luxury plate aside.

""You're back,"" they say, leaning forward. ""Still interested in those survey charts?","jp_yorkBar_hub:Resume your conversation
jp_yorkBar_leave:Leave them to their charts",
jp_yorkBar_noCredits,DialogOptionSelected,"$option == jp_yorkBar_buyMeal
!JP_YorkBar_Cmd hasCredits 40000",,You can't afford a meal for them.,jp_yorkBar_leave:Leave them to their charts,
